Var1,bboxnumber,abspos1,abspos2,abspos3,agglo_id,relpos1,relpos2,relpos3
non_spine_synapse_025,7,12613,9592,16757,7183457.0,273,176,318
non_spine_synapse_024,7,12717,9512,16825,7183532.0,377,96,386
non_spine_synapse_023,7,12704,9531,16832,7183532.0,364,115,393
non_spine_synapse_022,7,12599,9666,16905,15262.0,259,250,466
non_spine_synapse_020,7,12742,9794,16880,16620.0,402,378,441
non_spine_synapse_019,7,12715,9799,16896,16620.0,375,383,457
non_spine_synapse_018,7,12643,9844,16776,17067.0,303,428,337
non_spine_synapse_017,7,12729,9803,16764,17067.0,389,387,325
non_spine_synapse_016,7,12500,9740,16666,4230184.0,160,324,227
non_spine_synapse_015,7,12480,9736,16666,4230184.0,140,320,227
non_spine_synapse_012,7,12602,9687,16745,7183457.0,262,271,306
non_spine_synapse_011,7,12794,9648,16743,7183532.0,454,232,304
non_spine_synapse_010,7,12776,9661,16743,7183532.0,436,245,304
non_spine_synapse_009,7,12527,9532,16720,4235592.0,187,116,281
non_spine_synapse_007,7,12500,9522,16684,513926.0,160,106,245
non_spine_synapse_006,7,12520,9530,16686,4235592.0,180,114,247
non_spine_synapse_005,7,12723,9719,16668,7183532.0,383,303,229
non_spine_synapse_004,7,12729,9710,16668,7183532.0,389,294,229
non_spine_synapse_002,7,12688,9599,16552,4417214.0,348,183,113
non_spine_synapse_001,7,12676,9760,16541,4417214.0,336,344,102
